mcg,gvh,alm,mit,erl,pox,vac,nuc,localization_site
0.6211783289909363,0.6713954210281372,0.3615054190158844,0.44500502943992615,0.5,0.0,0.5552464127540588,0.2199999988079071,ME2
0.6182906627655029,0.5182973742485046,0.37481802701950073,0.15421833097934723,0.5,0.0,0.5411369204521179,0.27000001072883606,ME2
0.7089810967445374,0.671545147895813,0.2905326187610626,0.25999292731285095,0.5,0.0,0.49000000953674316,0.2199999988079071,ME2
0.7632776498794556,0.5761528611183167,0.3702676296234131,0.22956271469593048,0.5,0.0,0.550000011920929,0.2767302393913269,ME2
0.8123853802680969,0.4341427683830261,0.46527424454689026,0.2784540057182312,0.5,0.0,0.5400000214576721,0.2559264898300171,ME2
0.7681747078895569,0.6287103295326233,0.5099999904632568,0.274895578622818,0.5,0.0,0.5099999904632568,0.26242393255233765,ME2
0.7616845965385437,0.6803284883499146,0.31809142231941223,0.3434534966945648,0.5,0.0,0.5299999713897705,0.2488221377134323,ME2
0.9642783999443054,0.8964326977729797,0.37244459986686707,0.29582682251930237,0.5,0.0,0.45390990376472473,0.2375611662864685,ME2
0.9432632327079773,0.6552174687385559,0.33766987919807434,0.2819024324417114,0.5,0.0,0.46408209204673767,0.2199999988079071,ME2
0.5334838032722473,0.4785855710506439,0.5339555740356445,0.27209100127220154,0.5,0.0,0.5,0.2199999988079071,ME2
0.8020133376121521,0.8469092845916748,0.3841831386089325,0.3605113625526428,0.5,0.0,0.5020309090614319,0.2199999988079071,ME2
0.6167635917663574,0.4908151626586914,0.47108983993530273,0.14996501803398132,0.5,0.0,0.47564858198165894,0.2199999988079071,ME2
0.9026022553443909,0.7250432372093201,0.3572952151298523,0.48230212926864624,0.5,0.0,0.3733205795288086,0.2199999988079071,ME2
0.7455417513847351,0.7178822159767151,0.44379860162734985,0.1599999964237213,0.5,0.0,0.5299999713897705,0.2199999988079071,ME2
0.5058087706565857,0.7323529124259949,0.5,0.47082850337028503,0.5,0.0,0.5099999904632568,0.2199999988079071,ME2
0.6306788325309753,0.5410211682319641,0.3399864435195923,0.22597919404506683,0.5,0.0,0.5199999809265137,0.2199999988079071,ME2
0.5767053365707397,0.4518222510814667,0.40396687388420105,0.16916751861572266,0.5,0.0,0.49328896403312683,0.40570762753486633,ME2
0.6491227746009827,0.3955274522304535,0.3967094421386719,0.4698468744754791,0.5,0.0,0.5299999713897705,0.4417400658130646,ME2
0.7596458196640015,0.769316554069519,0.41047531366348267,0.36675673723220825,0.5,0.0,0.5429552793502808,0.2199999988079071,ME2
0.5149576663970947,0.5075587630271912,0.45537233352661133,0.20999999344348907,0.5,0.0,0.5691046118736267,0.3141593933105469,ME2
0.9456008672714233,0.6713970303535461,0.3757057189941406,0.35662350058555603,0.5,0.0,0.5299999713897705,0.2199999988079071,ME2
0.9446143507957458,0.8932070732116699,0.28177931904792786,0.4039924144744873,0.5,0.0,0.11145913600921631,0.2199999988079071,ME2
0.7966598868370056,0.6791226863861084,0.4318060874938965,0.3736722469329834,0.5,0.0,0.5299999713897705,0.3569481372833252,ME2
0.4699999988079071,0.4400009214878082,0.37537845969200134,0.1599999964237213,0.5,0.0,0.5698789358139038,0.2199999988079071,ME2
0.7611352205276489,0.5719010233879089,0.28541117906570435,0.22347873449325562,0.5,0.0,0.6894955039024353,0.2199999988079071,ME2
0.8025577664375305,0.6489437222480774,0.40671879053115845,0.27450698614120483,0.5,0.0,0.4642230272293091,0.3100000023841858,ME2
0.9964403510093689,0.7415623664855957,0.22958722710609436,0.41847315430641174,0.5,0.0,0.5,0.2199999988079071,ME2
0.457990437746048,0.5073925256729126,0.32332921028137207,0.24226553738117218,0.5,0.0,0.5299999713897705,0.455252081155777,ME2
0.9921985268592834,0.8031391501426697,0.33919015526771545,0.23954465985298157,0.5,0.0,0.48191627860069275,0.25,ME2
