Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
81506,1109.772,435.6977307393086,239.74016670684804,1.8173747717130588,0.8350037583035121,82324,322.143853477269,0.7643098274568643,0.9900636509401876,0.8316333898376178,0.739374641521871,0.0053455908858158,0.000985447940488,0.5466748605255954,0.9935130998489724,Other
73364,1041.3729999999998,401.5893013133206,235.5381929671193,1.7049859144048956,0.8099382856261375,74655,305.63040745310417,0.7005395082358559,0.9827071194159802,0.850120011494391,0.7610521656169591,0.0054739286477471,0.001132756594763,0.5792003987902634,0.9875285215550974,Other
61498,959.953,367.9021131495763,215.91024607966065,1.7039585653282887,0.8096820939120682,63004,279.8243833587828,0.6996598291181724,0.976096755761539,0.8386310072172481,0.7605946618877284,0.0059823427290249,0.0012349920023076,0.578504239692108,0.9857472543020968,Other
48945,826.904,304.1505097251454,206.8839090675244,1.4701506322846714,0.7330243408909569,49527,249.6371557221852,0.7425810171137274,0.98824883396935,0.8995141745540539,0.820768493690105,0.0062141283016681,0.0017395731145833,0.6736609202343238,0.9903830278279646,SIRA
44856,792.403,298.99996529881804,191.74519903346763,1.559360895636453,0.7672999623771051,45416,238.9820767728,0.6922222222222222,0.9876695437731196,0.8977143861388167,0.7992712525366459,0.0066657741505889,0.0016780586248754,0.6388345351314989,0.9961735928661511,SIRA
28671,627.304,234.45427165661215,156.142037094412,1.50154484992948,0.7459689067658548,29059,191.06295032554544,0.7420031055900621,0.9866478543652568,0.9155806193097497,0.8149262923448937,0.0081774012645743,0.0022246843070818,0.6641048619549952,0.9971832352816512,Other
27128,608.001,220.65079046537585,156.67063226173988,1.4083736516537972,0.7041625093312229,27458,185.8505915233403,0.7553179641385455,0.987981644693714,0.9221871230248871,0.8422838238257012,0.0081336917747484,0.0025252321733463,0.7094420398784449,0.9991594763403242,Other
27408,625.9929999999999,230.81015813919467,151.7794063045179,1.5206948278353118,0.7533723870272855,27861,186.8072521132446,0.8033060757935461,0.983740712824378,0.878917791829091,0.8093545518936249,0.0084212696343839,0.0022290129414814,0.6550547906709305,0.9961384321220268,Other
41226,746.767,273.28524773646126,192.3060806889581,1.421095197600545,0.7105144349729984,41628,229.10821345218469,0.7578308823529412,0.9903430383395792,0.928989546105235,0.8383482655936186,0.0066289537606476,0.0020198663455315,0.7028278144238285,0.9987852318177898,Other
66795,1062.267,433.5484826294467,196.73946928074923,2.20366805000764,0.891109238857606,67831,291.6265340989828,0.5950344753861778,0.984726747357403,0.7438518339697765,0.6726503396581729,0.0064907325792266,0.0008196547168434,0.4524584794422555,0.9970682951019372,Other
45167,808.98,301.9347081642519,191.76930791472645,1.5744683622600986,0.7724011277417373,45807,239.8091126647465,0.71142578125,0.9860283362804813,0.8672724282716086,0.7942416230408689,0.0066848519530686,0.0016409000496475,0.6308197557705937,0.993205747749442,SIRA
44231,770.329,284.9667292486409,197.9305874798988,1.4397306291913128,0.719420905634631,44659,237.31131094657283,0.7371833333333333,0.990416265478403,0.9366646428575692,0.8327684834376315,0.0064426924385304,0.0019113678866491,0.6935033470070128,0.998458010132688,SIRA
41187,756.309,275.2738998171068,190.8468223443818,1.4423813634181286,0.7206510898228481,41706,228.9998190588961,0.7289476478708719,0.9875557473744784,0.9048393660383872,0.8318980448602086,0.00668351421121,0.0019745359852616,0.6920543570422377,0.9982063070700392,SIRA
72373,1041.799,335.8512881523547,275.57868223013423,1.2187128751558771,0.5715922442977356,73521,303.5591632138914,0.7866544928859469,0.9843854136913264,0.8379508906538097,0.9038499297825696,0.0046405605426382,0.0019104493153091,0.816944695567956,0.9956210187789664,Other
188557,1648.893,620.4363872840922,390.1882186939718,1.5900951324486456,0.7774917078455991,190364,489.9777840235495,0.7335706504824152,0.9905076590111576,0.871500368760178,0.7897308959720847,0.0032904447317473,0.0007894977175307,0.6236748880528715,0.9917024037233252,Other
31945,656.1479999999999,234.9751151535739,173.24640674986588,1.356305851080838,0.6755689375466001,32280,201.67706180070348,0.7712830170457289,0.9896220570012392,0.9324147556432631,0.8582911499751468,0.0073556148115064,0.0024622791020713,0.7366636981256599,0.9991412840466808,Other
43662,767.3820000000001,264.36096597579785,210.6831021824513,1.2547801092603126,0.6040421317792946,44131,235.7799503821872,0.7868019389832952,0.9893725499082278,0.9317304164433636,0.8918864005201614,0.0060547149918876,0.0023632607112132,0.7954613514328099,0.9981290814632172,Other
52614,909.269,374.95683731681873,180.28045152699664,2.079852996489027,0.8768285304922389,53287,258.82470014798787,0.8030219780219781,0.9873702779289508,0.7996987457812272,0.6902786518046466,0.0071265601801197,0.0009980619259131,0.4764846171372408,0.9910179587338172,Other
26724,605.805,223.6799617902718,153.18477758743822,1.4601970594799785,0.7286943424140067,27029,184.4615233415969,0.6911855990068281,0.9887158237448668,0.9150516747162508,0.8246671801319102,0.008370003060555,0.0023879224768213,0.6800759579867166,0.9930449140752328,Other
23811,571.519,198.33517513253213,153.29391514467696,1.293822882306488,0.6345238052260399,24175,174.11808291986492,0.7515386800492377,0.9849431230610134,0.916064710342286,0.8778981479382828,0.0083295609227891,0.0030519569477788,0.7707051581534672,0.9971559691305965,Other
44744,805.538,307.1799769679481,186.35113638380452,1.6483933660339332,0.794968039811205,45273,238.68353564841905,0.7887184910981844,0.9883153314337464,0.8665080575811319,0.7770152794604963,0.0068652775113523,0.0015436757999945,0.6037527445150732,0.9952220187834268,SIRA
37388,707.703,232.97050158490632,204.6242163253143,1.1385284975974042,0.4780608479633755,37784,218.18313431280217,0.8069933088711418,0.9895193732796952,0.9380803196262116,0.936526868545566,0.0062311570981305,0.002956850928617,0.8770825755077641,0.9985835069617164,Other
64595,1013.236,374.3757954924812,220.2918279119093,1.699453851924944,0.8085522888701397,65684,286.7837310451342,0.6809293402064029,0.9834206199378844,0.7906559491908592,0.7660317106448561,0.0057957395385475,0.001231049780194,0.5868045817134844,0.9972473067201868,Other
54195,927.979,386.9359222541133,179.14580433768248,2.159893856764599,0.8863657418871365,54881,262.6846343563364,0.801227084565346,0.987500227765529,0.7908475763269712,0.6788840716210963,0.0071396977996884,0.000935496289113,0.4608835827008378,0.9954596189591988,Other
33192,672.8799999999999,250.0924522318771,169.49806886587618,1.4754885050034126,0.7353001214869942,33510,205.57569644500663,0.7613542526837325,0.9905102954341988,0.9212299438248052,0.8219988032841709,0.0075347207830765,0.0021219330000137,0.6756820326006091,0.9969610721395398,Other
68404,994.109,380.620006110007,230.656206722406,1.6501615608726368,0.7954636773160295,69150,295.1180743669626,0.7667922159447583,0.9892118582791034,0.8698079065495096,0.7753614356300216,0.0055642945750249,0.0012405282611949,0.6011853558622481,0.9920529652034188,Other
71003,1076.435,365.10888783794366,248.97033063996503,1.4664754908725497,0.7314388236395156,72459,300.67229236301563,0.7161603324457355,0.9799058778067596,0.7700358455051902,0.8235140320562979,0.0051421614275163,0.0014588461161268,0.6781753609936215,0.9945275454107896,Other
186103,1646.095,622.0727101173583,384.88350088288297,1.6162623461135324,0.7856183276599965,189236,486.7789015496132,0.7976640521194976,0.983443953581771,0.8630847570116726,0.7825112621606227,0.0033426259120882,0.00077308976801,0.6123238754082108,0.989676023448605,Other
44318,800.556,302.1246864585791,187.6284019785169,1.6102289593297916,0.7837870358311212,44844,237.5445855909432,0.6902470174127029,0.9882704486664884,0.868973602093319,0.7862468584589173,0.0068172003804002,0.0016070208631219,0.6181841224365168,0.9954179761451528,SIRA
51119,898.5810000000001,369.8619266055911,177.11102068396173,2.088305545173135,0.8778928459747388,51708,255.12101498566676,0.6442380400262137,0.988609112709832,0.7955688140418706,0.6897736604766016,0.0072353122440891,0.0010103305070818,0.4757877026872899,0.9935900978470548,Other
65901,989.689,320.09171938180964,262.74086812786555,1.2182791419644456,0.5711726559146328,67032,289.6683607810697,0.7671202579533681,0.98312746151092,0.8454820314318248,0.90495424667812,0.0048571602765027,0.0020094105904464,0.8189421885807635,0.997700186822658,Other
80340,1105.4879999999998,428.2028752347295,240.5628595332592,1.7800040956676777,0.8272754906088102,81292,319.8313071355319,0.7497340375893541,0.9882891305417508,0.8261019094932969,0.7469153656668205,0.0053298839337158,0.001023253149573,0.5578825634692004,0.9930332478767596,Other
34189,684.153,253.26573889610657,172.06314560043867,1.471934841202048,0.7337885732554449,34562,208.64032878365217,0.7264363420023797,0.9892078004745096,0.9178882087091862,0.8238000516494637,0.0074078135919771,0.0021045394324986,0.678646525097659,0.9989234651519444,Other
