Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.5143871307373047,27.66193199157715,0.0010957381455227733,-1.3587875366210938,3.7237296104431152,258.0148620605469,0.00036141352029517293,0.014678705483675003,16.041149139404297,0.00012725005217362195,Dec,2,2,1,8,New_Visitor,False,True
6.194559574127197,167.7314453125,0.00048632011748850346,1.530199408531189,49.00257110595703,9041.1552734375,-0.0002663654158823192,0.007867653854191303,23.047075271606445,-0.0002836094645317644,May,2,2,1,4,Returning_Visitor,False,True
9.871230125427246,1280.943359375,5.745946884155273,799.4602661132812,75.88975524902344,6389.0107421875,0.016069946810603142,0.024451537057757378,8.77087116241455,4.6669356379425153e-07,Dec,2,2,3,2,Returning_Visitor,False,True
1.0513360500335693,77.09709930419922,0.003005165373906493,-0.6245396137237549,12.02299690246582,92.83047485351562,0.01229004468768835,0.014098799787461758,-0.041726283729076385,-2.021377622440923e-05,Nov,1,1,1,8,New_Visitor,True,True
-0.00739674735814333,0.2776399552822113,-0.001402395311743021,-0.48120465874671936,7.080408573150635,29.790294647216797,0.00017137863324023783,0.017660684883594513,0.05501021444797516,-7.780610076224548e-07,Nov,8,13,9,2,Other,True,True
3.8398211002349854,842.9157104492188,-0.0003835050738416612,0.05561121925711632,9.011797904968262,401.9208984375,-0.003211993956938386,0.014672551304101944,0.11542581021785736,-8.325654198415577e-05,June,2,2,1,16,New_Visitor,False,True
0.035366982221603394,0.460824191570282,-0.0024976565036922693,-0.006561849731951952,12.054150581359863,636.9078979492188,-0.0007737604901194572,0.005551431328058243,58.881385803222656,0.00026679705479182303,Nov,4,1,1,3,Returning_Visitor,False,True
1.0260268449783325,28.51686668395996,0.001161075895652175,-0.26010170578956604,4.430452346801758,173.5540008544922,0.0011148343328386545,0.01732015050947666,-0.02766549587249756,-2.831925121427048e-05,Nov,1,2,3,2,New_Visitor,False,True
7.974479675292969,189.948974609375,0.0017243382753804326,-0.34558969736099243,35.15365982055664,2063.95361328125,6.813264189986512e-05,0.012881197035312653,47.98757553100586,-0.00021858338732272387,Nov,2,2,4,2,Returning_Visitor,False,True
3.968442678451538,332.9741516113281,0.0034645411651581526,-0.18109630048274994,33.15555953979492,380.1275329589844,0.0009948642691597342,0.010859009809792042,0.040715962648391724,-0.0002851300232578069,Nov,3,2,1,3,Returning_Visitor,False,True
7.680159568786621,105.84766387939453,4.042262554168701,1125.8411865234375,70.44367218017578,6846.87744140625,0.024366525933146477,0.055037591606378555,12.041629791259766,-0.0004421424528118223,Mar,2,2,1,2,Returning_Visitor,True,True
-0.0043850489892065525,-0.7391198873519897,-0.0006318259402178228,-0.15979452431201935,1.9592233896255493,157.5235595703125,0.024679074063897133,0.053491607308387756,-0.14309503138065338,-7.298891432583332e-06,Dec,1,1,8,10,Returning_Visitor,False,True
