length(m),height(cm),condition,color_type,X1,X2,breed_category,pet_category
0.3948420286178589,11.540356636047363,2.0,White,0,3,1.0,category0
0.15685994923114777,34.3263053894043,2.0,White,0,3,0.0,category0
0.7873364090919495,11.341666221618652,2.0,Black,0,1,0.0,category0
0.9680726528167725,5.415775299072266,2.0,White,0,3,1.0,category0
0.4837989807128906,29.019018173217773,3.0,Gray,0,1,2.0,category0
0.12104817479848862,17.571910858154297,2.0,Tricolor,13,9,2.0,category0
0.5317798256874084,24.37645721435547,2.0,Gray,18,4,1.0,category0
-0.03208649531006813,11.16834831237793,3.0,Black,13,9,2.0,category0
0.45013412833213806,38.97206115722656,3.0,Brown,12,2,2.0,category0
0.7728292346000671,7.060383319854736,2.0,White,13,9,0.0,category0
0.22291067242622375,36.85488510131836,3.0,Yellow,7,1,2.0,category0
0.9289637207984924,20.01771354675293,3.0,Gray,18,4,2.0,category0
0.4950459599494934,16.740798950195312,2.0,Tricolor,0,1,0.0,category0
0.3775101900100708,34.57637405395508,3.0,Green,18,4,2.0,category0
0.5336484313011169,36.35017395019531,3.0,Gray,18,4,2.0,category0
0.3756628930568695,15.839497566223145,2.0,Black,0,1,0.0,category0
0.5776374936103821,27.258136749267578,3.0,Gray,11,4,2.0,category0
1.0504512786865234,31.364845275878906,2.0,White,0,1,0.0,category0
0.8912643194198608,45.463741302490234,2.0,Red,7,1,0.0,category0
0.3317316770553589,22.866945266723633,2.0,White,18,4,0.0,category0
0.3265637755393982,31.234737396240234,3.0,Yellow,0,1,2.0,category0
0.8558486700057983,9.398458480834961,2.0,Black,7,1,0.0,category0
0.9934284687042236,43.738739013671875,2.0,Tan,0,3,0.0,category0
0.8833791613578796,23.684520721435547,3.0,Black,0,1,2.0,category0
1.0668214559555054,16.887603759765625,3.0,Gray,0,1,2.0,category0
0.7126196622848511,38.45501708984375,2.0,Blue Tabby,0,1,0.0,category0
0.8138381242752075,12.209662437438965,2.0,Black,0,1,0.0,category0
0.9773111939430237,44.02354049682617,3.0,Yellow,12,1,2.0,category0
0.9008443355560303,29.944808959960938,2.0,White,0,3,0.0,category0
0.13926751911640167,35.67963409423828,3.0,Gray,0,1,2.0,category0
0.8071668744087219,26.489667892456055,3.0,Orange,18,4,2.0,category0
0.959138035774231,26.824979782104492,3.0,Green,0,1,2.0,category0
0.7890654802322388,34.459808349609375,2.0,White,0,3,0.0,category0
0.4202682077884674,39.825836181640625,3.0,Tricolor,0,3,2.0,category0
0.5335745215415955,34.11463165283203,3.0,White,0,1,2.0,category0
0.27452489733695984,14.840106010437012,3.0,Yellow,7,1,2.0,category0
0.958270788192749,8.51570987701416,3.0,White,13,9,2.0,category0
0.5508127808570862,29.35778045654297,3.0,White,11,3,2.0,category0
0.8983893990516663,10.580860137939453,3.0,Gray,0,6,2.0,category0
0.1331460326910019,16.077913284301758,3.0,Gray,0,1,2.0,category0
0.5155122876167297,21.746408462524414,3.0,Red,0,1,2.0,category0
0.2358548790216446,21.988346099853516,3.0,Brown,12,1,2.0,category0
0.3872787654399872,34.205970764160156,2.0,Tan,0,3,1.0,category0
0.6628578305244446,6.917774200439453,3.0,Brown,0,7,2.0,category0
0.7736756205558777,25.705787658691406,2.0,Brown,0,3,0.0,category0
0.8103861808776855,27.614519119262695,3.0,Gray,13,9,2.0,category0
0.955967366695404,27.53527069091797,2.0,Black,13,9,1.0,category0
0.5010877251625061,13.623183250427246,2.0,White,0,3,0.0,category0
