epoch,beta,lr,train_total_loss,train_recon_loss,train_mse_loss,train_ce_loss,train_kl_loss,train_contrast_loss,train_separation_loss,train_acc,train_proto_dist,train_intra_var_class_0,train_intra_var_class_1,train_intra_var_total,train_intra_var_weighted,val_total_loss,val_recon_loss,val_mse_loss,val_ce_loss,val_kl_loss,val_contrast_loss,val_separation_loss,val_acc,val_proto_dist,val_intra_var_class_0,val_intra_var_class_1,val_intra_var_total,val_intra_var_weighted
0,0.01,0.005,6.423582843256846,3.6561684248978144,1.269504424216488,2.3866640093654765,1.0748500325845234,7.284481397939081,2.856606578501418,0.18710656300791748,2.143393420350339,83.98963387944637,85.72222980937589,84.85593184441113,83.99760757000735,15.381914138793945,2.6310696601867676,0.5523495674133301,2.0787200927734375,0.8709836006164551,7.946561813354492,3.9332990646362305,0.3058740198612213,1.066701054573059,65.72991943359375,66.84925842285156,66.28958892822266,65.7362568093291
1,0.01,0.005,5.257746458144002,2.3090242233247436,0.3862279015404282,1.9227963514385866,0.5335002721327925,6.945224497812826,4.299099179276201,0.37547212850428185,0.7009008976967442,35.252240984775284,34.7636502919434,35.00794563835934,35.250396718968034,14.674081087112427,1.7941091060638428,0.0519963838160038,1.7421127557754517,0.43755435943603516,7.951330661773682,4.491086959838867,0.3728237748146057,0.5089132189750671,31.500289916992188,32.733795166015625,32.117042541503906,31.50727366928673
2,0.01,0.005,4.724696721730469,1.7470531236325244,0.09569500521797324,1.651358117223645,0.3882413625355512,6.925547969689368,4.480483180571561,0.40309442758876624,0.5195168501100261,19.750281778826693,19.073333884243898,19.411807831535295,19.747220719199674,14.479913145303726,1.6253767013549805,0.08150561153888702,1.5438710451126099,0.3282112181186676,7.949156284332275,4.577168941497803,0.4155696928501129,0.4228312373161316,11.04172134399414,11.53353500366211,11.287628173828125,11.044505851621418
3,0.01,0.005,4.541486063065021,1.5603362866771642,0.04229725403742986,1.518039041646828,0.28493211993133205,6.925505297483257,4.503243751619908,0.43555555970188703,0.4967561968673935,7.240950111407966,5.967073655951236,6.6040118836796005,7.235485519601578,14.337039053440094,1.5451841354370117,0.058546826243400574,1.4866373538970947,0.2599239945411682,7.949894428253174,4.58203649520874,0.5253361463546753,0.41796332597732544,7.659143447875977,8.285858154296875,7.972500801086426,7.6626917264685925
4,0.01,0.005,4.522676498165716,1.5425985006929845,0.05194499497455508,1.4906535135962813,0.24096435682991485,6.92532054791181,4.500360747399907,0.4477664072675419,0.49963923293530693,8.014151811364657,6.268370995794592,7.141261403579625,8.006434009162865,14.290794372558594,1.531476378440857,0.045579664409160614,1.4858967065811157,0.23723042011260986,7.9511799812316895,4.5709075927734375,0.3931351602077484,0.42909252643585205,11.895878791809082,12.003273010253906,11.949575901031494,11.89648682701613
5,0.01,0.005,4.422782190631726,1.4485365567444217,0.03178129930530912,1.4167552659942835,0.19909848466396873,6.926116351842609,4.472097836799318,0.4933333404122043,0.5279021837447329,6.285531329746991,4.807377040481134,5.5464541851140625,6.278995387211504,14.010765790939331,1.367243766784668,0.005057116970419884,1.3621866703033447,0.18164753913879395,7.951444625854492,4.510429859161377,0.5903043150901794,0.48957017064094543,6.851459503173828,7.051088809967041,6.951274156570435,6.852589746949019
6,0.01,0.005,4.235610521350524,1.2920652851987888,0.02217128930085755,1.2698940075750282,0.16300446231979107,6.932381225002955,4.311003764560831,0.5992264048547784,0.6889962562883628,11.108780252675826,6.922939279705998,9.015859766190912,11.090322927005552,13.519449084997177,1.2229046821594238,0.02361804060637951,1.199286699295044,0.15209278464317322,7.959352016448975,4.1850996017456055,0.6348902583122253,0.8149006366729736,15.740605354309082,11.26744556427002,13.50402545928955,15.715279608859463
7,0.01,0.005,4.179204833385481,1.306092938212314,0.0393130852629289,1.2667798498610814,0.14708468587528722,6.938873498784262,3.94989452343978,0.605688288363716,1.0501055043350354,18.88394840227459,12.240323629296093,15.562136015785342,18.85378676267298,13.51044051349163,1.4581568241119385,0.1322888731956482,1.3258678913116455,0.1518358439207077,7.95662260055542,3.9438252449035645,0.5341117978096008,1.0561747550964355,35.39700698852539,31.505582809448242,33.451294898986816,35.37497486295383
8,0.01,0.005,4.246420866366268,1.380995064528548,0.0720256926002356,1.3089693649094531,0.13622528748119878,6.932069549191662,3.922212734808287,0.5342586403820702,1.0777872403236697,19.694210958137266,14.564926300222421,17.129568629179843,19.669327220620193,13.376656100153923,1.288590669631958,0.023492302745580673,1.2650983333587646,0.1292751282453537,7.954975605010986,4.003814697265625,0.5386411547660828,0.9961854815483093,15.83501148223877,15.279922485351562,15.557466983795166,15.83186872783318
9,0.01,0.005,4.049520712148343,1.1727121591025516,0.06559834059187984,1.1071138296517902,0.12138552922991401,6.939114592569906,3.969301214749767,0.639605623788801,1.0306987759919612,15.823967280006336,10.656770868919816,13.240369074463075,15.799921290296743,13.359928712248802,1.3566762208938599,0.13268204033374786,1.2239941358566284,0.12871359288692474,8.009909629821777,3.8646292686462402,0.5788393020629883,1.1353707313537598,42.88597869873047,38.19831085205078,40.542144775390625,42.85943847029916
