epoch,beta,lr,train_total_loss,train_recon_loss,train_mse_loss,train_ce_loss,train_kl_loss,train_contrast_loss,train_separation_loss,train_acc,train_proto_dist,val_total_loss,val_recon_loss,val_mse_loss,val_ce_loss,val_kl_loss,val_contrast_loss,val_separation_loss,val_acc,val_proto_dist
0,0.01,0.008,3.0299998261177197,0.6034994303098907,0.6034994303098907,0.0,0.032646417739381164,7.1963498363324385,1.3363443810048115,0.0,0.6636556235798168,8.264066103845835,0.107271209359169,0.107271209359169,0.0,0.04287027195096016,7.970799446105957,0.14312517642974854,0.0,1.8568748235702515
1,0.01,0.008,2.3010944433323943,0.14104129000267,0.14104129000267,0.0,0.028726806821469334,6.942655249450725,0.3848458900124289,0.0,1.615154109987571,8.197647847235203,0.05116633325815201,0.05116633325815201,0.0,0.022582650184631348,7.963289737701416,0.16060912609100342,0.0,1.8393908739089966
2,0.01,0.008,2.172359840716493,0.03712833735155563,0.03712833735155563,0.0,0.01799328629854245,6.936705685643262,0.2701987360238868,0.0,1.7298012639761133,8.271032204851508,0.015581799671053886,0.015581799671053886,0.0,0.015434898436069489,7.959364891052246,0.28065061569213867,0.0,1.7193493843078613
3,0.01,0.008,2.1630877784230105,0.03203262320317343,0.03203262320317343,0.0,0.013185471128906013,6.934461565117273,0.2529231985765244,0.0,1.7470768014234757,8.249709833413363,0.0388152077794075,0.0388152077794075,0.0,0.011600416153669357,7.958044528961182,0.241249680519104,0.0,1.758750319480896
4,0.01,0.008,2.1455517259517287,0.024400232000053847,0.024400232000053847,0.0,0.010325574959573508,6.9340583745680915,0.20415317365733326,0.0,1.7958468263426668,8.173090616241097,0.02332468144595623,0.02332468144595623,0.0,0.009347047656774521,7.957958221435547,0.18246066570281982,0.0,1.8175393342971802
5,0.01,0.008,2.1226733403363904,0.018027017149023997,0.018027017149023997,0.0,0.008461042418022431,6.933601268790374,0.12240625210405784,0.0,1.8775937478959421,8.055734246969223,0.012877829372882843,0.012877829372882843,0.0,0.007734023034572601,7.957167625427246,0.07795476913452148,0.0,1.9220452308654785
6,0.01,0.008,2.0901555569576207,0.007319092625957902,0.007319092625957902,0.0,0.007094230593926407,6.931951719536356,0.015899298309805264,0.0,1.9873318781602358,7.968277460429817,0.0076070260256528854,0.0076070260256528854,0.0,0.0065564741380512714,7.954113960266113,0.0,0.0,2.0322773456573486
7,0.01,0.008,2.0947727137843013,0.01602638983009258,0.01602638983009258,0.0,0.0061124122505988665,6.928950291773079,0.0,0.0,2.082781854797285,7.973035472910851,0.014382759109139442,0.014382759109139442,0.0,0.005756595637649298,7.9528961181640625,0.0,0.0,2.1458778381347656
8,0.01,0.008,2.107898417583104,0.029355986320416378,0.029355986320416378,0.0,0.0054198635479139135,6.928293736326805,0.0,0.0,2.2340852325634013,8.011180933564901,0.05346257612109184,0.05346257612109184,0.0,0.005131706595420837,7.952586650848389,0.0,0.0,2.3281171321868896
9,0.01,0.008,2.109544460783922,0.030320323658674063,0.030320323658674063,0.0,0.004896935232257609,6.930583409719353,0.0,0.0,2.446855670386966,7.982314084190875,0.023252535611391068,0.023252535611391068,0.0,0.00467245327308774,7.9543890953063965,0.0,0.0,2.627723455429077
10,0.01,0.008,2.1036287360569097,0.02347280775565308,0.02347280775565308,0.0,0.004484643698070798,6.933703194246226,0.0,0.0,2.762858566528311,7.976561056450009,0.015336286276578903,0.015336286276578903,0.0,0.004297470673918724,7.956927299499512,0.0,0.0,2.88385009765625
11,0.01,0.008,2.0989181624850963,0.01876910095152264,0.01876910095152264,0.0,0.00411757178060556,6.933692777970781,0.0,0.0,2.9887509273657136,7.990331362467259,0.028804030269384384,0.028804030269384384,0.0,0.003957733046263456,7.957569599151611,0.0,0.0,3.110969066619873
12,0.01,0.008,2.0978470512779905,0.01826067024240704,0.01826067024240704,0.0,0.003795048477459599,6.931827787864775,0.0,0.0,3.1694443706709303,7.967747104121372,0.009320901706814766,0.009320901706814766,0.0,0.003653730032965541,7.954772472381592,0.0,0.0,3.2645668983459473
13,0.01,0.008,2.086647922157612,0.00785562001870875,0.00785562001870875,0.0,0.0035142232155874913,6.929190269555604,0.0,0.0,3.325508461290089,7.960677881259471,0.007146787829697132,0.007146787829697132,0.0,0.003386325668543577,7.9501447677612305,0.0,0.0,3.390385389328003
14,0.01,0.008,2.080635349129384,0.0035690471941406117,0.0035690471941406117,0.0,0.0032674571058366546,6.923445070138211,0.0,0.0,3.444331907181936,7.951753714587539,0.0027100956067442894,0.0027100956067442894,0.0,0.0031612985767424107,7.945882320404053,0.0,0.0,3.5303287506103516
15,0.01,0.008,2.0777630290389495,0.0020024510045734676,0.0020024510045734676,0.0,0.003069060259796458,6.919099172624972,0.0,0.0,3.6488762031693573,7.947148296749219,0.0019963039085268974,0.0019963039085268974,0.0,0.0029966316651552916,7.942155361175537,0.0,0.0,3.8331310749053955
16,0.01,0.008,2.0773878375932506,0.002791210442409213,0.002791210442409213,0.0,0.002930362270549312,6.915223988066176,0.0,0.0,4.0923722750757525,7.952234911965206,0.010231570340692997,0.010231570340692997,0.0,0.002884479472413659,7.9391188621521,0.0,0.0,4.400047302246094
17,0.01,0.008,2.084363861837896,0.010523260943647559,0.010523260943647559,0.0,0.002829595284368517,6.912707393912435,0.0,0.0,4.702704510215634,7.9467230185400695,0.005648156628012657,0.005648156628012657,0.0,0.002786173252388835,7.938288688659668,0.0,0.0,5.033855438232422
18,0.01,0.008,2.08225033892457,0.008485468686024893,0.008485468686024893,0.0,0.0027207959669673,6.91245850361254,0.0,0.0,5.213664753130982,7.946654154220596,0.0057865227572619915,0.0057865227572619915,0.0,0.0026557135861366987,7.938211917877197,0.0,0.0,5.414366245269775
19,0.01,0.008,2.08134300766625,0.007544581069834382,0.007544581069834382,0.0,0.0026007408288897284,6.912574439692406,0.0,0.0,5.449703230091715,7.948673728853464,0.008355529978871346,0.008355529978871346,0.0,0.0025421101599931717,7.9377760887146,0.0,0.0,5.582695960998535
20,0.01,0.008,2.0814736032292407,0.0077250728212688155,0.0077250728212688155,0.0,0.0024762029182904596,6.912412143851404,0.0,0.0,5.574157588193394,7.946368156699464,0.005970091093331575,0.005970091093331575,0.0,0.0024207516107708216,7.937977313995361,0.0,0.0,5.658897399902344
21,0.01,0.008,2.0833026571752997,0.009659470958435277,0.009659470958435277,0.0,0.0023786744607147566,6.912064188903703,0.0,0.0,5.607851694753632,7.949688112130389,0.010292572900652885,0.010292572900652885,0.0,0.0023313683923333883,7.937064170837402,0.0,0.0,5.6386942863464355
22,0.01,0.008,2.0803931989653677,0.0067592451553801555,0.0067592451553801555,0.0,0.002298212521935809,6.91203631436378,0.0,0.0,5.614573380129222,7.944161426508799,0.004866806324571371,0.004866806324571371,0.0,0.0022604900877922773,7.9370341300964355,0.0,0.0,5.7563276290893555
23,0.01,0.008,2.0785971223846533,0.005297768048264286,0.005297768048264286,0.0,0.002211850044509013,6.9109239001586795,0.0,0.0,5.810773433969549,7.944757201243192,0.006792011205106974,0.006792011205106974,0.0,0.0021608229726552963,7.93580436706543,0.0,0.0,5.98737096786499
24,0.01,0.008,2.078733913760976,0.005819900831026307,0.005819900831026307,0.0,0.002114710316362364,6.909642551570833,0.0,0.0,6.0384794715684205,7.941296488512307,0.0044920905493199825,0.0044920905493199825,0.0,0.002070530317723751,7.934733867645264,0.0,0.0,6.234724521636963
25,0.01,0.008,2.0772553073655886,0.004663227590072103,0.004663227590072103,0.0,0.002034346379198314,6.908572095883723,0.0,0.0,6.28801743559607,7.941237180028111,0.0051537672989070415,0.0051537672989070415,0.0,0.0020061498507857323,7.934077262878418,0.0,0.0,6.480612277984619
26,0.01,0.008,2.075272983036536,0.0030007704437166544,0.0030007704437166544,0.0,0.001991061338950778,6.90750728845865,0.0,0.0,6.501634471092147,7.936976098688319,0.002573425183072686,0.002573425183072686,0.0,0.001975267194211483,7.932427406311035,0.0,0.0,6.685983180999756
27,0.01,0.008,2.07323887504273,0.001489671447668819,0.001489671447668819,0.0,0.001947512849981733,6.905765459806674,0.0,0.0,6.6941305751294795,7.933514509815723,0.0010755622060969472,0.0010755622060969472,0.0,0.0019188899314031005,7.930520057678223,0.0,0.0,6.884174823760986
28,0.01,0.008,2.0721016682449127,0.0008712109097749388,0.0008712109097749388,0.0,0.0018949121805752285,6.904038118580053,0.0,0.0,6.905556283240331,7.931491483002901,0.0008363779634237289,0.0008363779634237289,0.0,0.0018716882914304733,7.928783416748047,0.0,0.0,7.1317362785339355
29,0.01,0.008,2.07210294406226,0.001365430188028583,0.001365430188028583,0.0,0.0018489672504638972,6.9023965649177494,0.0,0.0,7.166660959496932,7.931236729025841,0.0021408044267445803,0.0021408044267445803,0.0,0.0018240816425532103,7.927271842956543,0.0,0.0,7.419951438903809
30,0.01,0.008,2.0724580927842315,0.0021148480546125162,0.0021148480546125162,0.0,0.0018018374421814197,6.901083894149515,0.0,0.0,7.421766146203752,7.933759035542607,0.006132425740361214,0.006132425740361214,0.0,0.0017790794372558594,7.92584753036499,0.0,0.0,7.6626458168029785
